
THE RESULT ARE:
BUS DATA
BUS     VOLTAGE      ANGLE(DEGS.)      BUS P          BUS Q
  1  9.30278e-01       -3.27406   -1.60000e+00   -8.00000e-01
  2  1.08709e+00       17.85323   -2.00000e+00   -1.00000e+00
  3  1.13510e+00       -3.56280   -3.70000e+00   -1.30000e+00
  4  1.05000e+00       21.80930    5.00000e+00    1.20016e+00
  5  1.15000e+00        0.00000    2.57519e+00    2.72338e+00
 LINE FLOW 
 1       1          2-1.441128e+00-4.290463e-01 4.013586e-02 1.143503e-01                2          1 1.481264e+00 5.433966e-01
 2       1          3 1.405667e-02-5.032732e-01 0.000000e+00 1.108842e-01                3          1-1.405667e-02 6.141574e-01
 3       2          3 1.410413e+00-3.053533e-01 4.317605e-02-8.009006e-02                3          2-1.367237e+00 2.252632e-01
 4       4          2 4.999999e+00 1.200153e+00 0.000000e+00 3.597064e-01                2          4-4.999999e+00-8.404467e-01
 5       5          3 2.575186e+00 2.723380e+00 0.000000e+00 3.186688e-01                3          5-2.575186e+00-2.404711e+00
