
THE RESULT ARE:
BUS DATA
BUS     VOLTAGE      ANGLE(DEGS.)      BUS P          BUS Q
  1  1.05843e+00       -3.57036   -1.60000e+00   -8.00000e-01
  2  1.08235e+00        0.58138   -2.00000e+00   -1.00000e+00
  3  1.06804e+00       -3.71986   -3.70000e+00   -1.30000e+00
  4  1.05000e+00        4.55481    5.00000e+00    1.51701e+00
  5  1.05000e+00        0.00000    2.30976e+00    1.22356e+00
 LINE FLOW 
 1       1          2-1.622935e+00-6.944144e-01 1.646042e-03-4.445324e-01                2          1 1.624581e+00 2.498820e-01
 2       1          3 3.895810e-02-1.343822e-01 0.000000e+00 1.321793e-03                3          1-3.895810e-02 1.357040e-01
 3       2          3 1.353747e+00-2.299673e-02 1.679063e-03-4.735394e-01                3          2-1.352068e+00-4.505426e-01
 4       4          2 5.000001e+00 1.517009e+00 0.000000e+00 3.714197e-01                2          4-5.000001e+00-1.145589e+00
 5       5          3 2.309758e+00 1.223558e+00 0.000000e+00 1.858976e-01                3          5-2.309758e+00-1.037661e+00
