
THE RESULT ARE:
BUS DATA
BUS     VOLTAGE      ANGLE(DEGS.)      BUS P          BUS Q
  1  8.62151e-01       -4.77852   -1.60000e+00   -8.00000e-01
  2  1.07792e+00       17.85349   -2.00000e+00   -1.00000e+00
  3  1.03641e+00       -4.28193   -3.70000e+00   -1.30000e+00
  4  1.05000e+00       21.84328    5.00000e+00    1.81306e+00
  5  1.05000e+00        0.00000    2.57943e+00    2.29939e+00
 LINE FLOW 
 1       1          2-1.423370e+00-5.428339e-01 4.741991e-02 2.634785e-01                2          1 1.470790e+00 8.063124e-01
 2       1          3-2.045677e-02-3.967680e-01 0.000000e+00 8.039105e-02                3          1 2.045677e-02 4.771590e-01
 3       2          3 1.341762e+00-2.382100e-04 4.160047e-02-4.116440e-02                3          2-1.300162e+00-4.092619e-02
 4       4          2 4.999999e+00 1.813045e+00 0.000000e+00 3.848276e-01                2          4-4.999999e+00-1.428218e+00
 5       5          3 2.579428e+00 2.299383e+00 0.000000e+00 3.248986e-01                3          5-2.579428e+00-1.974485e+00
