
THE RESULT ARE:
BUS DATA
BUS     VOLTAGE      ANGLE(DEGS.)      BUS P          BUS Q
  1  7.84988e-01       -6.94938   -1.60000e+00   -8.00000e-01
  2  1.06801e+00       17.71140   -2.00000e+00   -1.00000e+00
  3  9.35773e-01       -5.30560   -3.70000e+00   -1.30000e+00
  4  1.05000e+00       21.73824    5.00000e+00    2.47482e+00
  5  9.50000e-01        0.00000    2.60960e+00    1.98251e+00
 LINE FLOW 
 1       1          2-1.400738e+00-6.348785e-01 5.825853e-02 4.696531e-01                2          1 1.458997e+00 1.104532e+00
 2       1          3-5.566074e-02-3.118620e-01 0.000000e+00 6.165445e-02                3          1 5.566074e-02 3.735164e-01
 3       2          3 1.271311e+00 3.042792e-01 4.415429e-02 4.555774e-02                3          2-1.227157e+00-2.587215e-01
 4       4          2 4.999999e+00 2.474818e+00 0.000000e+00 4.234467e-01                2          4-4.999999e+00-2.051372e+00
 5       5          3 2.609603e+00 1.982511e+00 0.000000e+00 3.570172e-01                3          5-2.609603e+00-1.625494e+00
