
THE RESULT ARE:
BUS DATA
BUS     VOLTAGE      ANGLE(DEGS.)      BUS P          BUS Q
  1  7.24073e-01       -6.23388   -1.60000e+00   -8.00000e-01
  2  9.69460e-01       22.86368   -2.00000e+00   -1.00000e+00
  3  1.01228e+00       -4.58302   -3.70000e+00   -1.30000e+00
  4  9.50000e-01       27.76880    5.00000e+00    1.90544e+00
  5  1.05000e+00        0.00000    2.69616e+00    3.11524e+00
 LINE FLOW 
 1       1          2-1.353635e+00-3.931803e-01 5.935001e-02 5.598623e-01                2          1 1.412985e+00 9.530426e-01
 2       1          3-5.577785e-02-5.504334e-01 0.000000e+00 2.210193e-01                3          1 5.577785e-02 7.714527e-01
 3       2          3 1.424915e+00-1.334685e-01 5.568957e-02 2.020907e-01                3          2-1.369226e+00 3.355592e-01
 4       4          2 4.999999e+00 1.905440e+00 0.000000e+00 4.758496e-01                2          4-4.999999e+00-1.429590e+00
 5       5          3 2.696156e+00 3.115236e+00 0.000000e+00 4.618611e-01                3          5-2.696156e+00-2.653375e+00
