
THE RESULT ARE:
BUS DATA
BUS     VOLTAGE      ANGLE(DEGS.)      BUS P          BUS Q
  1  9.21053e-01       -4.13388   -1.60000e+00   -8.00000e-01
  2  1.08583e+00       17.18339   -2.00000e+00   -1.00000e+00
  3  1.12128e+00       -4.32638   -3.70000e+00   -1.30000e+00
  4  1.05000e+00       21.14407    5.00000e+00    1.28446e+00
  5  1.05000e+00        0.00000    2.57439e+00    2.72129e+00
 LINE FLOW 
 1       1          2-1.438813e+00-4.462306e-01 4.100025e-02 1.327899e-01                2          1 1.479813e+00 5.790204e-01
 2       1          3 9.165495e-03-4.871342e-01 0.000000e+00 1.059332e-01                3          1-9.165495e-03 5.930674e-01
 3       2          3 1.400831e+00-2.622839e-01 4.271114e-02-7.739830e-02                3          2-1.358119e+00 1.848856e-01
 4       4          2 4.999999e+00 1.284458e+00 0.000000e+00 3.625689e-01                2          4-4.999999e+00-9.218893e-01
 5       5          3 2.574386e+00 2.721286e+00 0.000000e+00 3.818479e-01                3          5-2.574386e+00-2.339438e+00
