
THE RESULT ARE:
BUS DATA
BUS     VOLTAGE      ANGLE(DEGS.)      BUS P          BUS Q
  1  9.64308e-01       -4.56074   -1.60000e+00   -8.00000e-01
  2  1.17745e+00       14.16329   -2.00000e+00   -1.00000e+00
  3  1.05608e+00       -4.11501   -3.70000e+00   -1.30000e+00
  4  1.05000e+00       18.16368    5.00000e+00    2.00362e+00
  5  1.05000e+00        0.00000    2.52611e+00    1.63795e+00
 LINE FLOW 
 1       1          2-1.457903e+00-7.086104e-01 4.140341e-02 6.684923e-02                2          1 1.499307e+00 7.754596e-01
 2       1          3-2.092730e-02-2.336934e-01 0.000000e+00 2.241278e-02                3          1 2.092730e-02 2.561061e-01
 3       2          3 1.265100e+00 1.958796e-01 3.505301e-02-1.890812e-01                3          2-1.230047e+00-3.849608e-01
 4       4          2 5.000000e+00 2.003622e+00 0.000000e+00 3.947573e-01                2          4-5.000000e+00-1.608865e+00
 5       5          3 2.526110e+00 1.637953e+00 0.000000e+00 2.466389e-01                3          5-2.526110e+00-1.391314e+00
