
THE RESULT ARE:
BUS DATA
BUS     VOLTAGE      ANGLE(DEGS.)      BUS P          BUS Q
  1  1.02863e+00       -3.52892   -1.60000e+00   -8.00000e-01
  2  1.08234e+00        4.85462   -2.00000e+00   -1.00000e+00
  3  1.05959e+00       -3.79790   -3.70000e+00   -1.30000e+00
  4  1.05000e+00        8.82806    5.00000e+00    1.51719e+00
  5  1.05000e+00        0.00000    2.33948e+00    1.50784e+00
 LINE FLOW 
 1       1          2-1.593550e+00-6.466351e-01 6.669521e-03-2.972641e-01                2          1 1.600220e+00 3.493710e-01
 2       1          3 3.378928e-02-2.102175e-01 0.000000e+00 6.485939e-03                3          1-3.378928e-02 2.167034e-01
 3       2          3 1.351739e+00-4.286426e-02 6.655574e-03-3.664284e-01                3          2-1.345083e+00-3.235641e-01
 4       4          2 5.000000e+00 1.517185e+00 0.000000e+00 3.714294e-01                2          4-5.000000e+00-1.145756e+00
 5       5          3 2.339483e+00 1.507833e+00 0.000000e+00 2.107770e-01                3          5-2.339483e+00-1.297056e+00
