
THE RESULT ARE:
BUS DATA
BUS     VOLTAGE      ANGLE(DEGS.)      BUS P          BUS Q
  1  1.41794e+00       -6.40370   -1.60000e+00   -8.00000e-01
  2  1.14352e+00       11.96035   -2.00000e+00   -1.00000e+00
  3  1.14983e+00       -3.87403   -3.70000e+00   -1.30000e+00
  4  1.05000e+00       15.72089    5.00000e+00   -2.57078e+00
  5  1.05000e+00        0.00000    2.58954e+00   -1.49020e+00
 LINE FLOW 
 1       1          2-1.520688e+00 3.399163e-01 2.404528e-01-2.380399e+00                2          1 1.761141e+00-2.720315e+00
 2       1          3 1.916653e-01-9.302011e-01 7.505941e-02-3.134403e+00                3          1-1.166059e-01-2.204201e+00
 3       2          3 1.159182e+00-1.533600e+00 9.982634e-02-2.319101e+00                3          2-1.059356e+00-7.855005e-01
 4       4          2 5.000003e+00-2.570797e+00 0.000000e+00 4.300213e-01                2          4-5.000003e+00 3.000818e+00
 5       5          3 2.589541e+00-1.490202e+00 0.000000e+00 2.428825e-01                3          5-2.589541e+00 1.733085e+00
