
THE RESULT ARE:
BUS DATA
BUS     VOLTAGE      ANGLE(DEGS.)      BUS P          BUS Q
  1  7.33069e-01       -6.08466   -1.60000e+00   -8.00000e-01
  2  9.75360e-01       22.55216   -2.00000e+00   -1.00000e+00
  3  1.01373e+00       -4.56120   -3.70000e+00   -1.30000e+00
  4  1.05000e+00       26.54153    5.00000e+00    1.80551e+00
  5  1.05000e+00        0.00000    2.68721e+00    3.06586e+00
 LINE FLOW 
 1       1          2-1.359009e+00-4.002897e-01 5.840766e-02 5.390168e-01                2          1 1.417417e+00 9.393066e-01
 2       1          3-5.218900e-02-5.427889e-01 0.000000e+00 2.094671e-01                3          1 5.218900e-02 7.522559e-01
 3       2          3 1.420177e+00-1.288228e-01 5.469716e-02 1.861298e-01                3          2-1.365480e+00 3.149526e-01
 4       4          2 5.000000e+00 1.805507e+00 0.000000e+00 3.844876e-01                2          4-5.000000e+00-1.421019e+00
 5       5          3 2.687206e+00 3.065859e+00 0.000000e+00 4.522505e-01                3          5-2.687206e+00-2.613608e+00
